0.0	0.841
0.1	1.235
0.2	1.629
0.3	2.023
0.4	2.102
0.5	2.102
0.6	2.102
0.7	2.102
0.8	2.102
0.9	2.102
1.0	2.102
1.1	2.102
1.2	2.102
1.3	2.102
1.4	2.102
1.5	2.102
1.6	2.102
1.7	1.978
1.8	1.869
1.9	1.77
2.0	1.682
2.1	1.602
2.2	1.529
2.3	1.462
2.4	1.401
2.5	1.345
2.6	1.294
2.7	1.246
2.8	1.201
2.9	1.16
3.0	1.121
3.1	1.085
3.2	1.051
3.3	1.019
3.4	0.989
3.5	0.961
3.6	0.934
3.7	0.909
3.8	0.885
3.9	0.862
4.0	0.841
4.1	0.841
4.2	0.841
4.3	0.841
4.4	0.841
4.5	0.841
4.6	0.841
4.7	0.841
4.8	0.841
4.9	0.841
5.0	0.841
